make,year,price_pkr,mileage_km,engine_cc,transmission,fuel_type,city,seller_type
Suzuki,2007.0,1080000.0,50000.0,660.0,Automatic,Petrol,Karachi,Individual
Toyota,2019.0,5150000.0,92000.0,1500.0,Automatic,Hybrid,Nowshera cantt,Individual
Suzuki,2009.0,1320000.0,100000.0,1000.0,Manual,Petrol,Karachi,Individual
Hyundai,2024.0,8450000.0,26669.0,2000.0,Automatic,Petrol,Islamabad,Individual
Toyota,2008.0,2100000.0,200000.0,1300.0,Manual,Petrol,Abbottabad,Individual
Toyota,2020.0,3950000.0,84172.0,1000.0,Automatic,Petrol,Rawalpindi,Individual
Suzuki,2006.0,574000.0,41693.0,800.0,Manual,Petrol,Lahore,Individual
Suzuki,2022.0,2545000.0,44000.0,1000.0,Manual,Petrol,Islamabad,Individual
Daihatsu,2014.0,2550000.0,195000.0,660.0,Automatic,Petrol,Islamabad,Individual
Hyundai,2024.0,8500000.0,35000.0,2000.0,Automatic,Petrol,Lahore,Individual
Toyota,2019.0,5000000.0,90000.0,1600.0,Automatic,Petrol,Rawalpindi,Individual
Toyota,2022.0,4400000.0,17000.0,1000.0,Automatic,Petrol,Rawalpindi,Individual
Daihatsu,2020.0,5850000.0,69130.0,1000.0,Automatic,Petrol,Lahore,Individual
Daihatsu,2020.0,5950000.0,66641.0,1000.0,Automatic,Petrol,Lahore,Individual
Suzuki,2010.0,1725000.0,139000.0,1300.0,Manual,Petrol,Lahore,Individual
Toyota,2021.0,6550000.0,44000.0,1000.0,Automatic,Petrol,Islamabad,Individual
Mercedes,2007.0,4950000.0,160000.0,1800.0,Automatic,Petrol,Karachi,Individual
Haval,2025.0,113999.99999999999,21000.0,1500.0,Automatic,Hybrid,Islamabad,Individual
Toyota,2015.0,4200000.0,122000.0,1800.0,Automatic,Petrol,Lahore,Individual
Mercedes,2014.0,110000.00000000001,160000.0,2100.0,Automatic,Petrol,Islamabad,Individual
Mitsubishi,1995.0,4050000.0,86000.0,3500.0,Automatic,Petrol,Islamabad,Individual
Toyota,2014.0,3560000.0,120000.0,1500.0,Automatic,Hybrid,Jhelum,Individual
Suzuki,2021.0,3025000.0,40000.0,1000.0,Manual,Petrol,Mian Wali,Individual
Daihatsu,2014.0,1980000.0,150000.0,660.0,Automatic,Petrol,Karachi,Individual
Hyundai,2022.0,7175000.0,25000.0,2000.0,Automatic,Petrol,Karachi,Individual
Changan,2021.0,2200000.0,180000.0,1000.0,Manual,Petrol,Islamabad,Individual
Toyota,1998.0,110000.00000000001,185000.0,4200.0,Manual,Diesel,Islamabad,Individual
Honda,2018.0,5350000.0,155800.0,1800.0,Automatic,Petrol,Lahore,Individual
Honda,2016.0,3900000.0,120000.0,1500.0,Automatic,Petrol,Charsadda,Individual
Jaecoo,2026.0,8399000.0,8.0,1500.0,Automatic,Hybrid,Karachi,Individual
Mitsubishi,2006.0,1250000.0,231000.0,1300.0,Manual,Petrol,Karachi,Individual
Toyota,2012.0,2500000.0,81000.0,1000.0,Automatic,Petrol,Karachi,Individual
Toyota,2019.0,5200000.0,92000.0,1800.0,Automatic,Petrol,Karachi,Individual
Toyota,2022.0,6920000.0,55000.0,1800.0,Automatic,Petrol,Wazirabad,Individual
Toyota,2005.0,4550000.0,180000.0,2500.0,Automatic,Petrol,Karachi,Individual
Suzuki,2014.0,985000.0,45286.0,796.0,Manual,Petrol,Faisalabad,Individual
Toyota,2016.0,3700000.0,93000.0,1600.0,Automatic,Petrol,Karachi,Individual
Toyota,1996.0,1230000.0,122222.0,1500.0,Manual,Petrol,Charsadda,Individual
Suzuki,2017.0,2250000.0,153956.0,1000.0,Manual,Petrol,Multan,Individual
Honda,2015.0,4200000.0,109000.0,1800.0,Automatic,Petrol,Karachi,Individual
Honda,2022.0,6375000.0,21000.0,1800.0,Automatic,Petrol,Karachi,Individual
Honda,2016.0,4500000.0,86000.0,1800.0,Automatic,Petrol,Islamabad,Individual
Toyota,2018.0,128000.0,66000.0,2800.0,Automatic,Diesel,Gujrat,Individual
KIA,2021.0,7100000.0,52000.0,2000.0,Automatic,Petrol,Islamabad,Individual
Honda,2020.0,5950000.0,83000.0,1800.0,Automatic,Petrol,Gujranwala,Individual
Toyota,2016.0,3850000.0,155000.0,1600.0,Automatic,Petrol,Sargodha,Individual
Honda,2019.0,5775000.0,68000.0,1800.0,Automatic,Petrol,Gujranwala,Individual
Subaru,2014.0,150000.0,35000.0,2000.0,Automatic,Petrol,Islamabad,Individual
Toyota,2018.0,103000.0,107000.0,2800.0,Automatic,Diesel,Rawalpindi,Individual
Lexus,2018.0,650000.0,40000.0,5700.0,Automatic,Petrol,Islamabad,Individual
Toyota,2008.0,145000.0,75000.0,3500.0,Automatic,Petrol,Islamabad,Individual
Jaecoo,2026.0,8350000.0,1073.0,1500.0,Automatic,Hybrid,Rawalpindi,Individual
Toyota,2014.0,2930000.0,150.0,1000.0,Automatic,Petrol,Gujranwala,Individual
Nissan,2024.0,4150000.0,5000.0,660.0,Automatic,Hybrid,Islamabad,Individual
Daihatsu,2019.0,3275000.0,65000.0,660.0,Automatic,Petrol,Islamabad,Individual
Nissan,2007.0,1575000.0,200000.0,1200.0,Automatic,Petrol,Rawalpindi,Individual
Toyota,2012.0,6800000.0,185000.0,3000.0,Manual,Diesel,Islamabad,Individual
Suzuki,2017.0,1800000.0,85000.0,1000.0,Manual,Petrol,Lahore,Individual
Honda,2017.0,5500000.0,64000.0,1800.0,Automatic,Petrol,Gujranwala,Individual
Changan,2023.0,2490000.0,42000.0,1000.0,Manual,Petrol,Lahore,Individual
Suzuki,2020.0,2785000.0,50900.0,660.0,Automatic,Petrol,Sukkur,Individual
Honda,1998.0,1040000.0,70000.0,1500.0,Manual,Petrol,Rawalpindi,Individual
Honda,2023.0,7159999.999999999,7900.0,1500.0,Automatic,Petrol,Lahore,Individual
Suzuki,2021.0,2345000.0,52303.0,660.0,Manual,Petrol,Karachi,Individual
Toyota,2018.0,4350000.0,93000.0,1300.0,Manual,Petrol,Vehari,Individual
Daihatsu,2007.0,900000.0,123.0,800.0,Manual,Petrol,Karachi,Individual
MG,2024.0,7500000.0,19000.0,1500.0,Automatic,Petrol,Faisalabad,Individual
Suzuki,2017.0,2150000.0,84000.0,1300.0,Manual,Petrol,Karachi,Individual
Honda,2017.0,4600000.0,96000.0,1800.0,Automatic,Petrol,Karachi,Individual
Toyota,2000.0,1300000.0,160000.0,2000.0,Manual,Diesel,Lahore,Individual
Toyota,2020.0,300000.0,3000.0,3300.0,Automatic,Diesel,Sialkot,Individual
